datetime,charge_MW
2018-10-16 00:00:00,0.0
2018-10-16 00:30:00,0.0
2018-10-16 01:00:00,0.0
2018-10-16 01:30:00,0.0
2018-10-16 02:00:00,0.0
2018-10-16 02:30:00,0.0
2018-10-16 03:00:00,0.0
2018-10-16 03:30:00,0.0
2018-10-16 04:00:00,0.0
2018-10-16 04:30:00,0.0
2018-10-16 05:00:00,0.0
2018-10-16 05:30:00,0.0
2018-10-16 06:00:00,0.0
2018-10-16 06:30:00,0.0
2018-10-16 07:00:00,0.0
2018-10-16 07:30:00,0.0
2018-10-16 08:00:00,1.1650243
2018-10-16 08:30:00,1.7128997
2018-10-16 09:00:00,2.2400773
2018-10-16 09:30:00,2.5
2018-10-16 10:00:00,2.5
2018-10-16 10:30:00,1.8819987000000005
2018-10-16 11:00:00,0.0
2018-10-16 11:30:00,0.0
2018-10-16 12:00:00,0.0
2018-10-16 12:30:00,0.0
2018-10-16 13:00:00,0.0
2018-10-16 13:30:00,0.0
2018-10-16 14:00:00,0.0
2018-10-16 14:30:00,0.0
2018-10-16 15:00:00,0.0
2018-10-16 15:30:00,-0.5497010735454548
2018-10-16 16:00:00,-2.5
2018-10-16 16:30:00,-2.5
2018-10-16 17:00:00,-2.5
2018-10-16 17:30:00,-2.5
2018-10-16 18:00:00,-2.5
2018-10-16 18:30:00,-2.5
2018-10-16 19:00:00,0.0
2018-10-16 19:30:00,0.0
2018-10-16 20:00:00,0.0
2018-10-16 20:30:00,0.0
2018-10-16 21:00:00,0.0
2018-10-16 21:30:00,0.0
2018-10-16 22:00:00,0.0
2018-10-16 22:30:00,0.0
2018-10-16 23:00:00,0.0
2018-10-16 23:30:00,0.0
2018-10-17 00:00:00,0.0
2018-10-17 00:30:00,0.0
2018-10-17 01:00:00,0.0
2018-10-17 01:30:00,0.0
2018-10-17 02:00:00,0.0
2018-10-17 02:30:00,0.0
2018-10-17 03:00:00,0.0
2018-10-17 03:30:00,0.0
2018-10-17 04:00:00,0.0
2018-10-17 04:30:00,0.0
2018-10-17 05:00:00,0.0
2018-10-17 05:30:00,0.0
2018-10-17 06:00:00,0.0
2018-10-17 06:30:00,0.0
2018-10-17 07:00:00,0.0
2018-10-17 07:30:00,0.0
2018-10-17 08:00:00,1.1219976
2018-10-17 08:30:00,1.6382028999999998
2018-10-17 09:00:00,2.1686757
2018-10-17 09:30:00,0.0
2018-10-17 10:00:00,2.5
2018-10-17 10:30:00,2.5
2018-10-17 11:00:00,2.0711238000000005
2018-10-17 11:30:00,0.0
2018-10-17 12:00:00,0.0
2018-10-17 12:30:00,0.0
2018-10-17 13:00:00,0.0
2018-10-17 13:30:00,0.0
2018-10-17 14:00:00,0.0
2018-10-17 14:30:00,0.0
2018-10-17 15:00:00,0.0
2018-10-17 15:30:00,-0.6121812493636365
2018-10-17 16:00:00,-2.5
2018-10-17 16:30:00,-2.5
2018-10-17 17:00:00,-2.5
2018-10-17 17:30:00,-2.5
2018-10-17 18:00:00,-2.5
2018-10-17 18:30:00,-2.5
2018-10-17 19:00:00,0.0
2018-10-17 19:30:00,0.0
2018-10-17 20:00:00,0.0
2018-10-17 20:30:00,0.0
2018-10-17 21:00:00,0.0
2018-10-17 21:30:00,0.0
2018-10-17 22:00:00,0.0
2018-10-17 22:30:00,0.0
2018-10-17 23:00:00,0.0
2018-10-17 23:30:00,0.0
2018-10-18 00:00:00,0.0
2018-10-18 00:30:00,0.0
2018-10-18 01:00:00,0.0
2018-10-18 01:30:00,0.0
2018-10-18 02:00:00,0.0
2018-10-18 02:30:00,0.0
2018-10-18 03:00:00,0.0
2018-10-18 03:30:00,0.0
2018-10-18 04:00:00,0.0
2018-10-18 04:30:00,0.0
2018-10-18 05:00:00,0.0
2018-10-18 05:30:00,0.0
2018-10-18 06:00:00,0.0
2018-10-18 06:30:00,0.0
2018-10-18 07:00:00,0.0
2018-10-18 07:30:00,0.0
2018-10-18 08:00:00,0.0
2018-10-18 08:30:00,0.0
2018-10-18 09:00:00,0.0
2018-10-18 09:30:00,0.0
2018-10-18 10:00:00,0.13894520000000002
2018-10-18 10:30:00,0.4163217000000001
2018-10-18 11:00:00,1.2311873
2018-10-18 11:30:00,1.6477651999999998
2018-10-18 12:00:00,2.1409563
2018-10-18 12:30:00,2.4411074
2018-10-18 13:00:00,2.1415672999999997
2018-10-18 13:30:00,1.8421496000000008
2018-10-18 14:00:00,0.0
2018-10-18 14:30:00,0.0
2018-10-18 15:00:00,0.0
2018-10-18 15:30:00,-0.7718967717272727
2018-10-18 16:00:00,-2.5
2018-10-18 16:30:00,-2.5
2018-10-18 17:00:00,-2.5
2018-10-18 17:30:00,-2.5
2018-10-18 18:00:00,-2.5
2018-10-18 18:30:00,-2.5
2018-10-18 19:00:00,0.0
2018-10-18 19:30:00,0.0
2018-10-18 20:00:00,0.0
2018-10-18 20:30:00,0.0
2018-10-18 21:00:00,0.0
2018-10-18 21:30:00,0.0
2018-10-18 22:00:00,0.0
2018-10-18 22:30:00,0.0
2018-10-18 23:00:00,0.0
2018-10-18 23:30:00,0.0
2018-10-19 00:00:00,0.0
2018-10-19 00:30:00,0.0
2018-10-19 01:00:00,0.0
2018-10-19 01:30:00,0.0
2018-10-19 02:00:00,0.0
2018-10-19 02:30:00,0.0
2018-10-19 03:00:00,0.0
2018-10-19 03:30:00,0.0
2018-10-19 04:00:00,0.0
2018-10-19 04:30:00,0.0
2018-10-19 05:00:00,0.0
2018-10-19 05:30:00,0.0
2018-10-19 06:00:00,0.0
2018-10-19 06:30:00,0.0
2018-10-19 07:00:00,0.0
2018-10-19 07:30:00,0.0
2018-10-19 08:00:00,0.0
2018-10-19 08:30:00,0.06060599999999999
2018-10-19 09:00:00,0.2512776
2018-10-19 09:30:00,0.561129
2018-10-19 10:00:00,1.0555718
2018-10-19 10:30:00,0.6611298000000001
2018-10-19 11:00:00,0.8311212
2018-10-19 11:30:00,1.910909
2018-10-19 12:00:00,2.086631
2018-10-19 12:30:00,1.9509710999999998
2018-10-19 13:00:00,0.9797978999999999
2018-10-19 13:30:00,0.9999998999999999
2018-10-19 14:00:00,0.6508556999999993
2018-10-19 14:30:00,0.0
2018-10-19 15:00:00,0.0
2018-10-19 15:30:00,-1.173631387909091
2018-10-19 16:00:00,-2.5
2018-10-19 16:30:00,-2.5
2018-10-19 17:00:00,-2.5
2018-10-19 17:30:00,-2.5
2018-10-19 18:00:00,-2.5
2018-10-19 18:30:00,-2.5
2018-10-19 19:00:00,0.0
2018-10-19 19:30:00,0.0
2018-10-19 20:00:00,0.0
2018-10-19 20:30:00,0.0
2018-10-19 21:00:00,0.0
2018-10-19 21:30:00,0.0
2018-10-19 22:00:00,0.0
2018-10-19 22:30:00,0.0
2018-10-19 23:00:00,0.0
2018-10-19 23:30:00,0.0
2018-10-20 00:00:00,0.0
2018-10-20 00:30:00,0.0
2018-10-20 01:00:00,0.0
2018-10-20 01:30:00,0.0
2018-10-20 02:00:00,0.0
2018-10-20 02:30:00,0.0
2018-10-20 03:00:00,0.0
2018-10-20 03:30:00,0.0
2018-10-20 04:00:00,0.0
2018-10-20 04:30:00,0.0
2018-10-20 05:00:00,0.0
2018-10-20 05:30:00,0.0
2018-10-20 06:00:00,0.0
2018-10-20 06:30:00,0.0
2018-10-20 07:00:00,0.0
2018-10-20 07:30:00,0.24373694
2018-10-20 08:00:00,0.24915653
2018-10-20 08:30:00,0.27445966
2018-10-20 09:00:00,0.29540417
2018-10-20 09:30:00,0.3906134
2018-10-20 10:00:00,0.631195
2018-10-20 10:30:00,0.61250156
2018-10-20 11:00:00,0.9012959999999999
2018-10-20 11:30:00,1.2629331
2018-10-20 12:00:00,0.7492985
2018-10-20 12:30:00,0.5069759
2018-10-20 13:00:00,0.6219543000000001
2018-10-20 13:30:00,0.7101999
2018-10-20 14:00:00,0.8419469
2018-10-20 14:30:00,0.77843606
2018-10-20 15:00:00,0.4928218
2018-10-20 15:30:00,-0.7954397565454547
2018-10-20 16:00:00,-2.5
2018-10-20 16:30:00,-2.5
2018-10-20 17:00:00,-2.5
2018-10-20 17:30:00,-2.5
2018-10-20 18:00:00,-2.5
2018-10-20 18:30:00,0.0
2018-10-20 19:00:00,0.0
2018-10-20 19:30:00,0.0
2018-10-20 20:00:00,0.0
2018-10-20 20:30:00,0.0
2018-10-20 21:00:00,0.0
2018-10-20 21:30:00,0.0
2018-10-20 22:00:00,0.0
2018-10-20 22:30:00,0.0
2018-10-20 23:00:00,0.0
2018-10-20 23:30:00,0.0
2018-10-21 00:00:00,0.0
2018-10-21 00:30:00,0.0
2018-10-21 01:00:00,0.0
2018-10-21 01:30:00,0.0
2018-10-21 02:00:00,0.0
2018-10-21 02:30:00,0.0
2018-10-21 03:00:00,0.0
2018-10-21 03:30:00,0.0
2018-10-21 04:00:00,0.0
2018-10-21 04:30:00,0.0
2018-10-21 05:00:00,0.0
2018-10-21 05:30:00,0.0
2018-10-21 06:00:00,0.0
2018-10-21 06:30:00,0.0
2018-10-21 07:00:00,0.0
2018-10-21 07:30:00,0.0
2018-10-21 08:00:00,0.26978335
2018-10-21 08:30:00,0.3064962
2018-10-21 09:00:00,0.30729809999999996
2018-10-21 09:30:00,0.3776222
2018-10-21 10:00:00,0.6359726
2018-10-21 10:30:00,0.84564435
2018-10-21 11:00:00,1.3749111
2018-10-21 11:30:00,1.7667380000000001
2018-10-21 12:00:00,1.2697017
2018-10-21 12:30:00,1.0997190000000001
2018-10-21 13:00:00,1.7129613999999997
2018-10-21 13:30:00,1.4388882
2018-10-21 14:00:00,0.5942638000000002
2018-10-21 14:30:00,0.0
2018-10-21 15:00:00,0.0
2018-10-21 15:30:00,-0.8671815059999992
2018-10-21 16:00:00,-2.5
2018-10-21 16:30:00,-2.5
2018-10-21 17:00:00,-2.5
2018-10-21 17:30:00,-2.5
2018-10-21 18:00:00,-2.5
2018-10-21 18:30:00,-2.5
2018-10-21 19:00:00,0.0
2018-10-21 19:30:00,0.0
2018-10-21 20:00:00,0.0
2018-10-21 20:30:00,0.0
2018-10-21 21:00:00,0.0
2018-10-21 21:30:00,0.0
2018-10-21 22:00:00,0.0
2018-10-21 22:30:00,0.0
2018-10-21 23:00:00,0.0
2018-10-21 23:30:00,0.0
2018-10-22 00:00:00,0.0
2018-10-22 00:30:00,0.0
2018-10-22 01:00:00,0.0
2018-10-22 01:30:00,0.0
2018-10-22 02:00:00,0.0
2018-10-22 02:30:00,0.0
2018-10-22 03:00:00,0.0
2018-10-22 03:30:00,0.0
2018-10-22 04:00:00,0.0
2018-10-22 04:30:00,0.0
2018-10-22 05:00:00,0.0
2018-10-22 05:30:00,0.0
2018-10-22 06:00:00,0.0
2018-10-22 06:30:00,0.0
2018-10-22 07:00:00,0.0
2018-10-22 07:30:00,0.1057623
2018-10-22 08:00:00,0.11007439999999999
2018-10-22 08:30:00,0.2211136
2018-10-22 09:00:00,0.4638191
2018-10-22 09:30:00,1.1717171
2018-10-22 10:00:00,1.3912223
2018-10-22 10:30:00,1.4711818
2018-10-22 11:00:00,2.0300121
2018-10-22 11:30:00,2.3955222999999997
2018-10-22 12:00:00,2.0701011
2018-10-22 12:30:00,0.5694739000000002
2018-10-22 13:00:00,0.0
2018-10-22 13:30:00,0.0
2018-10-22 14:00:00,0.0
2018-10-22 14:30:00,0.0
2018-10-22 15:00:00,0.0
2018-10-22 15:30:00,-1.1971831148181815
2018-10-22 16:00:00,-2.5
2018-10-22 16:30:00,-2.5
2018-10-22 17:00:00,-2.5
2018-10-22 17:30:00,-2.5
2018-10-22 18:00:00,-2.5
2018-10-22 18:30:00,-2.5
2018-10-22 19:00:00,0.0
2018-10-22 19:30:00,0.0
2018-10-22 20:00:00,0.0
2018-10-22 20:30:00,0.0
2018-10-22 21:00:00,0.0
2018-10-22 21:30:00,0.0
2018-10-22 22:00:00,0.0
2018-10-22 22:30:00,0.0
2018-10-22 23:00:00,0.0
2018-10-22 23:30:00,0.0
